City,Date,MonthNum,Day,Month,Year,AvgTemperature,Avg_Temp
London,1-Jan-2019,1,1,Jan,2019,47.3,47.3
London,2-Jan-2019,1,2,Jan,2019,41.4,41.4
London,3-Jan-2019,1,3,Jan,2019,40.7,40.7
London,4-Jan-2019,1,4,Jan,2019,37.5,37.5
London,5-Jan-2019,1,5,Jan,2019,40.2,40.2
London,6-Jan-2019,1,6,Jan,2019,46,46
London,7-Jan-2019,1,7,Jan,2019,48.6,48.6
London,8-Jan-2019,1,8,Jan,2019,44.8,44.8
London,9-Jan-2019,1,9,Jan,2019,39.6,39.6
London,10-Jan-2019,1,10,Jan,2019,37.9,37.9
London,11-Jan-2019,1,11,Jan,2019,45.5,45.5
London,12-Jan-2019,1,12,Jan,2019,48.1,48.1
London,13-Jan-2019,1,13,Jan,2019,50.9,50.9
London,14-Jan-2019,1,14,Jan,2019,46.6,46.6
London,15-Jan-2019,1,15,Jan,2019,43.8,43.8
London,16-Jan-2019,1,16,Jan,2019,45.6,45.6
London,17-Jan-2019,1,17,Jan,2019,38.3,38.3
London,18-Jan-2019,1,18,Jan,2019,36.1,36.1
London,19-Jan-2019,1,19,Jan,2019,39.4,39.4
London,20-Jan-2019,1,20,Jan,2019,35.6,35.6
London,21-Jan-2019,1,21,Jan,2019,35.3,35.3
London,22-Jan-2019,1,22,Jan,2019,38.4,38.4
London,23-Jan-2019,1,23,Jan,2019,-99,-99
London,24-Jan-2019,1,24,Jan,2019,34.3,34.3
London,25-Jan-2019,1,25,Jan,2019,44.9,44.9
London,26-Jan-2019,1,26,Jan,2019,47,47
London,27-Jan-2019,1,27,Jan,2019,42.4,42.4
London,28-Jan-2019,1,28,Jan,2019,37.3,37.3
London,29-Jan-2019,1,29,Jan,2019,35.4,35.4
London,30-Jan-2019,1,30,Jan,2019,34.5,34.5
London,31-Jan-2019,1,31,Jan,2019,31.4,31.4
London,1-Feb-2019,2,1,Feb,2019,34.7,34.7
London,2-Feb-2019,2,2,Feb,2019,36.9,36.9
London,3-Feb-2019,2,3,Feb,2019,35.5,35.5
London,4-Feb-2019,2,4,Feb,2019,44.7,44.7
London,5-Feb-2019,2,5,Feb,2019,43.7,43.7
London,6-Feb-2019,2,6,Feb,2019,48.4,48.4
London,7-Feb-2019,2,7,Feb,2019,46.4,46.4
London,8-Feb-2019,2,8,Feb,2019,48.6,48.6
London,9-Feb-2019,2,9,Feb,2019,47,47
London,10-Feb-2019,2,10,Feb,2019,42.5,42.5
London,11-Feb-2019,2,11,Feb,2019,42.8,42.8
London,12-Feb-2019,2,12,Feb,2019,43.7,43.7
London,13-Feb-2019,2,13,Feb,2019,45.7,45.7
London,14-Feb-2019,2,14,Feb,2019,43.2,43.2
London,15-Feb-2019,2,15,Feb,2019,44.3,44.3
London,16-Feb-2019,2,16,Feb,2019,47.4,47.4
London,17-Feb-2019,2,17,Feb,2019,49,49
London,18-Feb-2019,2,18,Feb,2019,46.6,46.6
London,19-Feb-2019,2,19,Feb,2019,44.6,44.6
London,20-Feb-2019,2,20,Feb,2019,47.7,47.7
London,21-Feb-2019,2,21,Feb,2019,50.2,50.2
London,22-Feb-2019,2,22,Feb,2019,47.7,47.7
London,23-Feb-2019,2,23,Feb,2019,49.7,49.7
London,24-Feb-2019,2,24,Feb,2019,47.8,47.8
London,25-Feb-2019,2,25,Feb,2019,48.8,48.8
London,26-Feb-2019,2,26,Feb,2019,51,51
London,27-Feb-2019,2,27,Feb,2019,51,51
London,28-Feb-2019,2,28,Feb,2019,48.8,48.8
London,1-Mar-2019,3,1,Mar,2019,49.1,49.1
London,2-Mar-2019,3,2,Mar,2019,51.3,51.3
London,3-Mar-2019,3,3,Mar,2019,51.6,51.6
London,4-Mar-2019,3,4,Mar,2019,44.1,44.1
London,5-Mar-2019,3,5,Mar,2019,45.8,45.8
London,6-Mar-2019,3,6,Mar,2019,50.7,50.7
London,7-Mar-2019,3,7,Mar,2019,46.8,46.8
London,8-Mar-2019,3,8,Mar,2019,45.6,45.6
London,9-Mar-2019,3,9,Mar,2019,49,49
London,10-Mar-2019,3,10,Mar,2019,45.2,45.2
London,11-Mar-2019,3,11,Mar,2019,44.5,44.5
London,12-Mar-2019,3,12,Mar,2019,45,45
London,13-Mar-2019,3,13,Mar,2019,47.7,47.7
London,14-Mar-2019,3,14,Mar,2019,50.7,50.7
London,15-Mar-2019,3,15,Mar,2019,54.1,54.1
London,16-Mar-2019,3,16,Mar,2019,52,52
London,17-Mar-2019,3,17,Mar,2019,44.2,44.2
London,18-Mar-2019,3,18,Mar,2019,44.8,44.8
London,19-Mar-2019,3,19,Mar,2019,48.9,48.9
London,20-Mar-2019,3,20,Mar,2019,51.5,51.5
London,21-Mar-2019,3,21,Mar,2019,52.5,52.5
London,22-Mar-2019,3,22,Mar,2019,50.1,50.1
London,23-Mar-2019,3,23,Mar,2019,50.2,50.2
London,24-Mar-2019,3,24,Mar,2019,47.5,47.5
London,25-Mar-2019,3,25,Mar,2019,48.3,48.3
London,26-Mar-2019,3,26,Mar,2019,46.2,46.2
London,27-Mar-2019,3,27,Mar,2019,49.5,49.5
London,28-Mar-2019,3,28,Mar,2019,51.3,51.3
London,29-Mar-2019,3,29,Mar,2019,51.6,51.6
London,30-Mar-2019,3,30,Mar,2019,54.6,54.6
London,31-Mar-2019,3,31,Mar,2019,49,49
London,1-Apr-2019,4,1,Apr,2019,47,47
London,2-Apr-2019,4,2,Apr,2019,42.6,42.6
London,3-Apr-2019,4,3,Apr,2019,39.6,39.6
London,4-Apr-2019,4,4,Apr,2019,42.1,42.1
London,5-Apr-2019,4,5,Apr,2019,49,49
London,6-Apr-2019,4,6,Apr,2019,47.4,47.4
London,7-Apr-2019,4,7,Apr,2019,48.2,48.2
London,8-Apr-2019,4,8,Apr,2019,49.5,49.5
London,9-Apr-2019,4,9,Apr,2019,48.3,48.3
London,10-Apr-2019,4,10,Apr,2019,46.8,46.8
London,11-Apr-2019,4,11,Apr,2019,43.8,43.8
London,12-Apr-2019,4,12,Apr,2019,43.4,43.4
London,13-Apr-2019,4,13,Apr,2019,41.1,41.1
London,14-Apr-2019,4,14,Apr,2019,41.1,41.1
London,15-Apr-2019,4,15,Apr,2019,48.1,48.1
London,16-Apr-2019,4,16,Apr,2019,51.5,51.5
London,17-Apr-2019,4,17,Apr,2019,54.4,54.4
London,18-Apr-2019,4,18,Apr,2019,57.4,57.4
London,19-Apr-2019,4,19,Apr,2019,60.4,60.4
London,20-Apr-2019,4,20,Apr,2019,62,62
London,21-Apr-2019,4,21,Apr,2019,59.6,59.6
London,22-Apr-2019,4,22,Apr,2019,62.3,62.3
London,23-Apr-2019,4,23,Apr,2019,60.8,60.8
London,24-Apr-2019,4,24,Apr,2019,-99,-99
London,25-Apr-2019,4,25,Apr,2019,54.1,54.1
London,26-Apr-2019,4,26,Apr,2019,52.2,52.2
London,27-Apr-2019,4,27,Apr,2019,49.4,49.4
London,28-Apr-2019,4,28,Apr,2019,51.1,51.1
London,29-Apr-2019,4,29,Apr,2019,51,51
London,30-Apr-2019,4,30,Apr,2019,53.5,53.5
London,1-May-2019,5,1,May,2019,53.3,53.3
London,2-May-2019,5,2,May,2019,52.6,52.6
London,3-May-2019,5,3,May,2019,49.4,49.4
London,4-May-2019,5,4,May,2019,45.6,45.6
London,5-May-2019,5,5,May,2019,46.6,46.6
London,6-May-2019,5,6,May,2019,48.1,48.1
London,7-May-2019,5,7,May,2019,52.1,52.1
London,8-May-2019,5,8,May,2019,51.4,51.4
London,9-May-2019,5,9,May,2019,50.3,50.3
London,10-May-2019,5,10,May,2019,50.9,50.9
London,11-May-2019,5,11,May,2019,53.2,53.2
London,12-May-2019,5,12,May,2019,52.5,52.5
London,13-May-2019,5,13,May,2019,52.9,52.9
London,14-May-2019,5,14,May,2019,55,55
London,15-May-2019,5,15,May,2019,56.9,56.9
London,16-May-2019,5,16,May,2019,-99,-99
London,17-May-2019,5,17,May,2019,-99,-99
London,18-May-2019,5,18,May,2019,-99,-99
London,19-May-2019,5,19,May,2019,-99,-99
London,20-May-2019,5,20,May,2019,60.4,60.4
London,21-May-2019,5,21,May,2019,60.3,60.3
London,22-May-2019,5,22,May,2019,61.2,61.2
London,23-May-2019,5,23,May,2019,62.5,62.5
London,24-May-2019,5,24,May,2019,62.4,62.4
London,25-May-2019,5,25,May,2019,65.4,65.4
London,26-May-2019,5,26,May,2019,63,63
London,27-May-2019,5,27,May,2019,57.6,57.6
London,28-May-2019,5,28,May,2019,55.1,55.1
London,29-May-2019,5,29,May,2019,54.7,54.7
London,30-May-2019,5,30,May,2019,65.5,65.5
London,31-May-2019,5,31,May,2019,62.5,62.5
London,1-Jun-2019,6,1,Jun,2019,66.6,66.6
London,2-Jun-2019,6,2,Jun,2019,67.5,67.5
London,3-Jun-2019,6,3,Jun,2019,60.6,60.6
London,4-Jun-2019,6,4,Jun,2019,57.7,57.7
London,5-Jun-2019,6,5,Jun,2019,59.4,59.4
London,6-Jun-2019,6,6,Jun,2019,58.3,58.3
London,7-Jun-2019,6,7,Jun,2019,57.7,57.7
London,8-Jun-2019,6,8,Jun,2019,58.4,58.4
London,9-Jun-2019,6,9,Jun,2019,57.8,57.8
London,10-Jun-2019,6,10,Jun,2019,52.6,52.6
London,11-Jun-2019,6,11,Jun,2019,55.8,55.8
London,12-Jun-2019,6,12,Jun,2019,55,55
London,13-Jun-2019,6,13,Jun,2019,54.8,54.8
London,14-Jun-2019,6,14,Jun,2019,59.6,59.6
London,15-Jun-2019,6,15,Jun,2019,58.6,58.6
London,16-Jun-2019,6,16,Jun,2019,59.3,59.3
London,17-Jun-2019,6,17,Jun,2019,62.3,62.3
London,18-Jun-2019,6,18,Jun,2019,60.1,60.1
London,19-Jun-2019,6,19,Jun,2019,61.9,61.9
London,20-Jun-2019,6,20,Jun,2019,61,61
London,21-Jun-2019,6,21,Jun,2019,61,61
London,22-Jun-2019,6,22,Jun,2019,62.8,62.8
London,23-Jun-2019,6,23,Jun,2019,65.7,65.7
London,24-Jun-2019,6,24,Jun,2019,69.9,69.9
London,25-Jun-2019,6,25,Jun,2019,67.9,67.9
London,26-Jun-2019,6,26,Jun,2019,63.3,63.3
London,27-Jun-2019,6,27,Jun,2019,63.5,63.5
London,28-Jun-2019,6,28,Jun,2019,64.3,64.3
London,29-Jun-2019,6,29,Jun,2019,75.9,75.9
London,30-Jun-2019,6,30,Jun,2019,67.1,67.1
