Date_of_call,Date,Month,Year,Sum of Occurrence
30 Jun 2019,30,Jun,2019,77
30 Jun 2020,30,Jun,2020,46
30 Mar 2019,30,Mar,2019,66
30 Mar 2020,30,Mar,2020,43
30 May 2019,30,May,2019,53
30 May 2020,30,May,2020,115
30 Nov 2019,30,Nov,2019,43
30 Nov 2020,30,Nov,2020,42
30 Oct 2019,30,Oct,2019,41
30 Oct 2020,30,Oct,2020,28
30 Sep 2019,30,Sep,2019,22
30 Sep 2020,30,Sep,2020,29
31 Aug 2019,31,Aug,2019,55
31 Aug 2020,31,Aug,2020,45
31 Dec 2019,31,Dec,2019,26
31 Dec 2020,31,Dec,2020,55
31 Jan 2019,31,Jan,2019,32
31 Jan 2020,31,Jan,2020,35
31 Jul 2019,31,Jul,2019,50
31 Jul 2020,31,Jul,2020,95
31 Mar 2019,31,Mar,2019,57
31 Mar 2020,31,Mar,2020,41
31 May 2019,31,May,2019,51
31 May 2020,31,May,2020,129
31 Oct 2019,31,Oct,2019,50
31 Oct 2020,31,Oct,2020,47
